metric_name,formula,scale,interpretation,reviewer_issue_addressed
panel_fiscal_risk_score_0_100,100 × [0.30×entity_deviation + 0.20×period_deviation + 0.20×temporal_change + 0.15×rolling_instability + 0.15×source_uncertainty],0-100,Higher values indicate stronger panel-level fiscal anomaly/risk signal.,Defines output-generation process and target risk score.
panel_fiscal_anomaly_label,1 if panel_fiscal_risk_score_0_100 ≥ empirical 75th percentile; otherwise 0.,binary 0/1,Main supervised-learning target for later experiments.,Defines risk labels and anomaly thresholds.
risk_component_entity_deviation,Min-max normalized absolute robust z-score of value_mean within the same panel_entity.,0-1,Detects unusual values relative to the same fiscal entity over time.,Defines anomaly component mathematically.
risk_component_period_deviation,Min-max normalized absolute robust z-score of value_mean within the same year-period cross-section.,0-1,Detects unusual values relative to other fiscal entities in the same reporting period.,Defines anomaly component mathematically.
risk_component_temporal_change,Min-max normalized average of absolute lag-1 percentage change and absolute lag-1 value change.,0-1,Captures abrupt movement relative to prior observation for the same entity.,Defines temporal anomaly measurement.
risk_component_rolling_instability,Min-max normalized average of rolling standard deviation over 2-period and 4-period windows.,0-1,Captures short-run instability in the fiscal entity.,Defines robustness/instability measurement.
risk_component_source_uncertainty,1 - [0.35×normalized source-file count + 0.35×normalized source-sheet count + 0.30×normalized value count].,0-1,Higher values indicate lower source support and greater data uncertainty.,Defines traceability-aware uncertainty.
panel_traceability_index_0_1,0.35×normalized source-file count + 0.35×normalized source-sheet count + 0.30×normalized value count.,0-1,Higher values indicate stronger source provenance.,Defines traceability index.
panel_interpretability_index_0_1,0.25×core-indicator flag + 0.25×known-category flag + 0.25×known-indicator flag + 0.25×nonmissing feature coverage.,0-1,Higher values indicate stronger interpretability and semantic clarity.,Defines interpretability score.
panel_governance_alignment_index_0_1,0.35×traceability index + 0.35×interpretability index + 0.30×audit-readiness index.,0-1,Higher values indicate stronger governance compatibility.,Defines governance alignment index.
panel_decision_usability_index_0_1,0.35×governance alignment + 0.35×risk signal completeness + 0.30×temporal support.,0-1,Higher values indicate stronger practical usability for governance-aware decision support.,Defines decision usability.
panel_interpretability_score_1_5,1 + 4×panel_interpretability_index_0_1.,1-5,Converted interpretability score for manuscript reporting.,Explains the 1-5 scale.
panel_decision_usability_score_1_5,1 + 4×panel_decision_usability_index_0_1.,1-5,Converted usability score for manuscript reporting.,Explains the 1-5 scale.
