source_page,url,link_text,extension,downloadable,year_guess,period_guess,file_type_guess
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport,Scroll,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/help/pages/mobile.aspx,linktext,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/generalservcies/Pages/sitemap.aspx,,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/generalservcies/open-data,Open Data,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/eservices/Pages/addcomplaint.aspx,Contact Us,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/,عربي,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/,,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/budget/Pages/default.aspx,Budget Statement,,False,,Budget Statement,budget_statement
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/Pages/default.aspx,Budget Performance Reports Currently selected,,False,,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2025/Pages/default.aspx,Budget performance reports for 2025,,False,2025.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2026/Pages/default.aspx,Budget Performance reports for 2026,,False,2026.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Pages/default.aspx,MOF Portal,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2024/Pages/default.aspx,Budget performance reports for 2024,,False,2024.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2023/Pages/default.aspx,Budget performance reports for 2023,,False,2023.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2022/Pages/default.aspx,Budget performance reports for 2022,,False,2022.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2021/Pages/default.aspx,Budget performance reports for 2021,,False,2021.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2020/Pages/default.aspx,Budget performance reports for 2020,,False,2020.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2019/Pages/default.aspx,Budget performance reports for 2019,,False,2019.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2018/Pages/default.aspx,Budget performance reports for 2018,,False,2018.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/financialreport/2017/Pages/default.aspx,Budget performance reports for 2017,,False,2017.0,,budget_performance_report
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/about/History/Pages/AboutUs.aspx,About Ministry,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/about/Pages/tasks.aspx,MOF Strategy,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/Portal/Pages/privacy.aspx,Privacy,,False,,,other_financial_file
https://www.mof.gov.sa/en/financialreport,https://www.mof.gov.sa/en/mediacenter/news/Pages/default.aspx,News and Events,,False,,,other_financial_file
